[2J[HCONTAINER ID   NAME                                        CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
cbe93622bd7b   socialnetwork_url-shorten-service_1         0.00%     1.812MiB / 7.793GiB   0.02%     51.2kB / 23.5kB   0B / 0B           4
af9d49cf9bcc   socialnetwork_media-service_1               0.00%     1.074MiB / 7.793GiB   0.01%     6.78kB / 327B     0B / 0B           3
2f9f6ce5e9bb   socialnetwork_home-timeline-service_1       0.00%     1.105MiB / 7.793GiB   0.01%     7.46kB / 1.49kB   0B / 0B           3
a72061c86418   socialnetwork_user-mention-service_1        0.00%     1.715MiB / 7.793GiB   0.02%     6.78kB / 334B     0B / 0B           3
eb4325d16644   socialnetwork_text-service_1                0.00%     1.156MiB / 7.793GiB   0.01%     7.6kB / 1.58kB    0B / 0B           3
55b74e748bf1   ebpf_post-storage-service_1                 0.00%     2.105MiB / 7.793GiB   0.03%     17.3MB / 8.53MB   1.18MB / 0B       3
d0022af07d80   ebpf_media-frontend_1                       0.00%     7.723MiB / 7.793GiB   0.10%     189kB / 0B        0B / 0B           17
7e47f13b5bdf   ebpf_nginx-thrift_1                         0.00%     6.191MiB / 7.793GiB   0.08%     251kB / 139kB     778kB / 0B        9
d25620038ec5   ebpf_jaeger-agent_1                         0.01%     10.93MiB / 7.793GiB   0.14%     206kB / 1.34kB    17.7MB / 0B       10
2e77b1e19853   ebpf_compose-post-service_1                 0.00%     1.035MiB / 7.793GiB   0.01%     201kB / 25.4kB    0B / 0B           2
d6f32426f095   ebpf_text-service_1                         0.00%     984KiB / 7.793GiB     0.01%     194kB / 8.63kB    20.5kB / 0B       2
1e86f7710181   ebpf_home-timeline-service_1                0.00%     984KiB / 7.793GiB     0.01%     312kB / 217kB     111kB / 0B        2
d47d68898903   ebpf_media-service_1                        0.00%     924KiB / 7.793GiB     0.01%     191kB / 1.76kB    0B / 0B           2
6ec47f2868e0   ebpf_user-service_1                         0.00%     1.805MiB / 7.793GiB   0.02%     17.7MB / 8.95MB   1.02MB / 0B       4
4ae42aa7c8d0   ebpf_user-timeline-service_1                0.00%     1.418MiB / 7.793GiB   0.02%     17.5MB / 8.75MB   397kB / 0B        3
43ec33e513e0   ebpf_unique-id-service_1                    0.00%     924KiB / 7.793GiB     0.01%     191kB / 1.83kB    0B / 0B           2
93194d35503c   ebpf_user-mention-service_1                 0.00%     1.371MiB / 7.793GiB   0.02%     191kB / 1.86kB    242kB / 0B        2
fa7a319686a0   ebpf_social-graph-service_1                 0.00%     1.551MiB / 7.793GiB   0.02%     17.5MB / 8.77MB   414kB / 0B        4
9cbd12dfb0e8   ebpf_url-shorten-service_1                  0.00%     2.02MiB / 7.793GiB    0.03%     17.3MB / 8.53MB   4.46MB / 0B       3
3b37deaca200   ebpf_media-memcached_1                      0.00%     1.383MiB / 7.793GiB   0.02%     191kB / 0B        53.2kB / 0B       10
f29c05b13eb4   ebpf_home-timeline-redis_1                  0.03%     1.883MiB / 7.793GiB   0.02%     312kB / 212kB     188kB / 0B        5
af0e00d5e634   ebpf_social-graph-redis_1                   0.03%     2.562MiB / 7.793GiB   0.03%     404kB / 212kB     2.11MB / 0B       5
c24ef133d03b   ebpf_url-shorten-mongodb_1                  0.12%     24.01MiB / 7.793GiB   0.30%     8.72MB / 17.1MB   2.63MB / 1.2GB    34
06252d319f97   ebpf_social-graph-mongodb_1                 0.12%     25.15MiB / 7.793GiB   0.32%     8.72MB / 17.1MB   16.5MB / 1.2GB    34
a96748431bbf   ebpf_user-mongodb_1                         0.12%     23.68MiB / 7.793GiB   0.30%     9.1MB / 17.5MB    3.7MB / 1.2GB     36
19f0e70ad17a   ebpf_media-mongodb_1                        0.11%     23.8MiB / 7.793GiB    0.30%     191kB / 0B        2.02MB / 1.12GB   32
4a0d16d10f44   ebpf_post-storage-mongodb_1                 0.12%     26.67MiB / 7.793GiB   0.33%     8.72MB / 17.1MB   5.09MB / 1.2GB    34
4d322b245ccd   ebpf_post-storage-memcached_1               0.00%     1.324MiB / 7.793GiB   0.02%     191kB / 0B        0B / 0B           10
bda6be7b9a33   ebpf_url-shorten-memcached_1                0.00%     1.734MiB / 7.793GiB   0.02%     191kB / 0B        885kB / 0B        10
d6b2f0973cec   ebpf_user-memcached_1                       0.01%     2.723MiB / 7.793GiB   0.03%     203kB / 10.7kB    2.27MB / 0B       10
1f1612b0f572   ebpf_user-timeline-mongodb_1                0.12%     25.62MiB / 7.793GiB   0.32%     8.72MB / 17.1MB   29.8MB / 1.2GB    34
69788cba18d3   ebpf_user-timeline-redis_1                  0.03%     2.484MiB / 7.793GiB   0.03%     406kB / 212kB     8.95MB / 4.1kB    5
4a5f8f464f36   socialnetwork_nginx-thrift2_1               0.00%     4.402MiB / 7.793GiB   0.06%     1.34MB / 9.09kB   0B / 0B           9
bc6bddea1c57   socialnetwork_nginx-thrift_1                0.00%     7.387MiB / 7.793GiB   0.09%     7.61kB / 1.56kB   0B / 0B           9
a06f8aec464a   socialnetwork_media-frontend_1              0.00%     14.13MiB / 7.793GiB   0.18%     6.26kB / 0B       0B / 0B           17
813e3073eab3   813e3073eab3_socialnetwork_jaeger-agent_1   0.00%     9.188MiB / 7.793GiB   0.12%     6.37kB / 0B       238kB / 0B        9
4db8cf3094a6   socialnetwork_user-service_1                0.00%     1.82MiB / 7.793GiB    0.02%     51.2kB / 23.5kB   0B / 0B           4
72d6e5780180   socialnetwork_social-graph-service_1        0.00%     1.617MiB / 7.793GiB   0.02%     52kB / 24.6kB     0B / 0B           4
4874abb6eefb   socialnetwork_user-mongodb_1                0.00%     149.7MiB / 7.793GiB   1.88%     29.5kB / 44.4kB   16.4kB / 3.31MB   34
60520f3b5448   socialnetwork_post-storage-memcached_1      0.00%     1.789MiB / 7.793GiB   0.02%     6.3kB / 0B        0B / 0B           10
efc9dcd6840b   socialnetwork_media-mongodb_1               0.00%     150.4MiB / 7.793GiB   1.88%     6.37kB / 0B       4.1kB / 3.04MB    32
279d38f6edb1   socialnetwork_user-timeline-redis_1         0.00%     8.004MiB / 7.793GiB   0.10%     7.15kB / 744B     0B / 0B           5
32673dba7ba0   socialnetwork_home-timeline-redis_1         0.00%     2.664MiB / 7.793GiB   0.03%     6.87kB / 608B     0B / 0B           5
1964f381adaf   socialnetwork_user-memcached_1              0.00%     1.785MiB / 7.793GiB   0.02%     6.37kB / 0B       0B / 0B           10
738fd229ac6f   socialnetwork_post-storage-mongodb_1        0.00%     149.8MiB / 7.793GiB   1.88%     30.2kB / 44.5kB   16.4kB / 3.49MB   34
c3b45dd21177   socialnetwork_social-graph-mongodb_1        0.00%     147.9MiB / 7.793GiB   1.85%     29.8kB / 44.6kB   8.19kB / 3.39MB   34
2131048b53dd   socialnetwork_social-graph-redis_1          0.00%     2.891MiB / 7.793GiB   0.04%     7.19kB / 744B     0B / 0B           5
c5ccf589ad9f   socialnetwork_url-shorten-memcached_1       0.00%     1.785MiB / 7.793GiB   0.02%     6.37kB / 0B       0B / 0B           10
bb70b9ebaf16   socialnetwork_media-memcached_1             0.00%     1.789MiB / 7.793GiB   0.02%     6.37kB / 0B       0B / 0B           10
e2f5d7eb3594   socialnetwork_user-timeline-mongodb_1       0.00%     150.8MiB / 7.793GiB   1.89%     30.6kB / 120kB    20.5kB / 3.45MB   34
e9a845d1e4a2   socialnetwork_url-shorten-mongodb_1         0.49%     150.7MiB / 7.793GiB   1.89%     29.5kB / 44.4kB   16.4kB / 3.39MB   34
[2J[HCONTAINER ID   NAME                                        CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
4bf24459ea23   socialnetwork_unique-id-service_1           0.00%     1.066MiB / 7.793GiB   0.01%     6.78kB / 333B     0B / 0B           3
dfd58178d3bd   socialnetwork_user-timeline-service_1       0.00%     1.691MiB / 7.793GiB   0.02%     128kB / 25.5kB    0B / 0B           4
3bd5ec3fb0b2   socialnetwork_compose-post-service_1        0.00%     1.266MiB / 7.793GiB   0.02%     9.57kB / 4.57kB   0B / 0B           2
25fa4bb082ef   socialnetwork_post-storage-service_1        0.00%     1.816MiB / 7.793GiB   0.02%     51.6kB / 24.2kB   0B / 0B           4
cbe93622bd7b   socialnetwork_url-shorten-service_1         0.00%     1.812MiB / 7.793GiB   0.02%     51.2kB / 23.5kB   0B / 0B           4
af9d49cf9bcc   socialnetwork_media-service_1               0.00%     1.074MiB / 7.793GiB   0.01%     6.78kB / 327B     0B / 0B           3
2f9f6ce5e9bb   socialnetwork_home-timeline-service_1       0.00%     1.105MiB / 7.793GiB   0.01%     7.46kB / 1.49kB   0B / 0B           3
a72061c86418   socialnetwork_user-mention-service_1        0.00%     1.715MiB / 7.793GiB   0.02%     6.78kB / 334B     0B / 0B           3
eb4325d16644   socialnetwork_text-service_1                0.00%     1.156MiB / 7.793GiB   0.01%     7.6kB / 1.58kB    0B / 0B           3
55b74e748bf1   ebpf_post-storage-service_1                 0.00%     2.105MiB / 7.793GiB   0.03%     17.3MB / 8.53MB   1.18MB / 0B       3
d0022af07d80   ebpf_media-frontend_1                       0.00%     7.723MiB / 7.793GiB   0.10%     189kB / 0B        0B / 0B           17
7e47f13b5bdf   ebpf_nginx-thrift_1                         0.00%     6.191MiB / 7.793GiB   0.08%     251kB / 139kB     778kB / 0B        9
d25620038ec5   ebpf_jaeger-agent_1                         0.07%     10.93MiB / 7.793GiB   0.14%     206kB / 1.34kB    17.7MB / 0B       10
2e77b1e19853   ebpf_compose-post-service_1                 0.00%     1.035MiB / 7.793GiB   0.01%     201kB / 25.4kB    0B / 0B           2
d6f32426f095   ebpf_text-service_1                         0.00%     984KiB / 7.793GiB     0.01%     194kB / 8.63kB    20.5kB / 0B       2
1e86f7710181   ebpf_home-timeline-service_1                0.00%     984KiB / 7.793GiB     0.01%     312kB / 217kB     111kB / 0B        2
d47d68898903   ebpf_media-service_1                        0.00%     924KiB / 7.793GiB     0.01%     191kB / 1.76kB    0B / 0B           2
6ec47f2868e0   ebpf_user-service_1                         0.00%     1.805MiB / 7.793GiB   0.02%     17.7MB / 8.95MB   1.02MB / 0B       4
4ae42aa7c8d0   ebpf_user-timeline-service_1                0.00%     1.418MiB / 7.793GiB   0.02%     17.5MB / 8.75MB   397kB / 0B        3
43ec33e513e0   ebpf_unique-id-service_1                    0.00%     924KiB / 7.793GiB     0.01%     191kB / 1.83kB    0B / 0B           2
93194d35503c   ebpf_user-mention-service_1                 0.00%     1.371MiB / 7.793GiB   0.02%     191kB / 1.86kB    242kB / 0B        2
fa7a319686a0   ebpf_social-graph-service_1                 0.00%     1.551MiB / 7.793GiB   0.02%     17.5MB / 8.77MB   414kB / 0B        4
9cbd12dfb0e8   ebpf_url-shorten-service_1                  0.00%     2.02MiB / 7.793GiB    0.03%     17.3MB / 8.53MB   4.46MB / 0B       3
3b37deaca200   ebpf_media-memcached_1                      0.04%     1.383MiB / 7.793GiB   0.02%     191kB / 0B        53.2kB / 0B       10
f29c05b13eb4   ebpf_home-timeline-redis_1                  0.21%     1.883MiB / 7.793GiB   0.02%     312kB / 212kB     188kB / 0B        5
af0e00d5e634   ebpf_social-graph-redis_1                   0.17%     2.562MiB / 7.793GiB   0.03%     404kB / 212kB     2.11MB / 0B       5
c24ef133d03b   ebpf_url-shorten-mongodb_1                  0.46%     24MiB / 7.793GiB      0.30%     8.72MB / 17.1MB   2.63MB / 1.2GB    34
06252d319f97   ebpf_social-graph-mongodb_1                 0.61%     25.15MiB / 7.793GiB   0.32%     8.72MB / 17.1MB   16.5MB / 1.2GB    34
a96748431bbf   ebpf_user-mongodb_1                         0.44%     23.68MiB / 7.793GiB   0.30%     9.1MB / 17.5MB    3.7MB / 1.2GB     36
19f0e70ad17a   ebpf_media-mongodb_1                        0.46%     23.8MiB / 7.793GiB    0.30%     191kB / 0B        2.02MB / 1.12GB   32
4a0d16d10f44   ebpf_post-storage-mongodb_1                 0.39%     26.67MiB / 7.793GiB   0.33%     8.72MB / 17.1MB   5.09MB / 1.2GB    34
4d322b245ccd   ebpf_post-storage-memcached_1               0.02%     1.324MiB / 7.793GiB   0.02%     191kB / 0B        0B / 0B           10
bda6be7b9a33   ebpf_url-shorten-memcached_1                0.03%     1.734MiB / 7.793GiB   0.02%     191kB / 0B        885kB / 0B        10
d6b2f0973cec   ebpf_user-memcached_1                       0.04%     2.723MiB / 7.793GiB   0.03%     203kB / 10.7kB    2.27MB / 0B       10
1f1612b0f572   ebpf_user-timeline-mongodb_1                0.47%     25.62MiB / 7.793GiB   0.32%     8.72MB / 17.1MB   29.8MB / 1.2GB    34
69788cba18d3   ebpf_user-timeline-redis_1                  0.18%     2.484MiB / 7.793GiB   0.03%     406kB / 212kB     8.95MB / 4.1kB    5
4a5f8f464f36   socialnetwork_nginx-thrift2_1               0.00%     4.402MiB / 7.793GiB   0.06%     1.34MB / 9.09kB   0B / 0B           9
bc6bddea1c57   socialnetwork_nginx-thrift_1                0.00%     7.387MiB / 7.793GiB   0.09%     7.61kB / 1.56kB   0B / 0B           9
a06f8aec464a   socialnetwork_media-frontend_1              0.00%     14.13MiB / 7.793GiB   0.18%     6.26kB / 0B       0B / 0B           17
813e3073eab3   813e3073eab3_socialnetwork_jaeger-agent_1   0.04%     9.188MiB / 7.793GiB   0.12%     6.37kB / 0B       238kB / 0B        9
4db8cf3094a6   socialnetwork_user-service_1                0.00%     1.82MiB / 7.793GiB    0.02%     51.2kB / 23.5kB   0B / 0B           4
72d6e5780180   socialnetwork_social-graph-service_1        0.00%     1.617MiB / 7.793GiB   0.02%     52kB / 24.6kB     0B / 0B           4
4874abb6eefb   socialnetwork_user-mongodb_1                0.44%     149.7MiB / 7.793GiB   1.88%     29.5kB / 44.4kB   16.4kB / 3.31MB   34
60520f3b5448   socialnetwork_post-storage-memcached_1      0.01%     1.789MiB / 7.793GiB   0.02%     6.3kB / 0B        0B / 0B           10
efc9dcd6840b   socialnetwork_media-mongodb_1               0.42%     150.4MiB / 7.793GiB   1.88%     6.37kB / 0B       4.1kB / 3.04MB    32
279d38f6edb1   socialnetwork_user-timeline-redis_1         0.22%     8.004MiB / 7.793GiB   0.10%     7.15kB / 744B     0B / 0B           5
32673dba7ba0   socialnetwork_home-timeline-redis_1         0.19%     2.664MiB / 7.793GiB   0.03%     6.87kB / 608B     0B / 0B           5
1964f381adaf   socialnetwork_user-memcached_1              0.02%     1.785MiB / 7.793GiB   0.02%     6.37kB / 0B       0B / 0B           10
738fd229ac6f   socialnetwork_post-storage-mongodb_1        0.51%     149.8MiB / 7.793GiB   1.88%     30.2kB / 44.5kB   16.4kB / 3.49MB   34
c3b45dd21177   socialnetwork_social-graph-mongodb_1        0.46%     147.9MiB / 7.793GiB   1.85%     29.8kB / 44.6kB   8.19kB / 3.39MB   34
2131048b53dd   socialnetwork_social-graph-redis_1          0.16%     2.891MiB / 7.793GiB   0.04%     7.19kB / 744B     0B / 0B           5
c5ccf589ad9f   socialnetwork_url-shorten-memcached_1       0.02%     1.785MiB / 7.793GiB   0.02%     6.37kB / 0B       0B / 0B           10
bb70b9ebaf16   socialnetwork_media-memcached_1             0.02%     1.789MiB / 7.793GiB   0.02%     6.37kB / 0B       0B / 0B           10
e2f5d7eb3594   socialnetwork_user-timeline-mongodb_1       0.43%     150.8MiB / 7.793GiB   1.89%     30.6kB / 120kB    20.5kB / 3.45MB   34
e9a845d1e4a2   socialnetwork_url-shorten-mongodb_1         0.53%     150.7MiB / 7.793GiB   1.89%     29.5kB / 44.4kB   16.4kB / 3.39MB   34
[2J[HCONTAINER ID   NAME                                        CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
4bf24459ea23   socialnetwork_unique-id-service_1           0.00%     1.066MiB / 7.793GiB   0.01%     6.78kB / 333B     0B / 0B           3
dfd58178d3bd   socialnetwork_user-timeline-service_1       0.00%     1.691MiB / 7.793GiB   0.02%     128kB / 25.5kB    0B / 0B           4
3bd5ec3fb0b2   socialnetwork_compose-post-service_1        0.00%     1.266MiB / 7.793GiB   0.02%     9.57kB / 4.57kB   0B / 0B           2
25fa4bb082ef   socialnetwork_post-storage-service_1        0.00%     1.816MiB / 7.793GiB   0.02%     51.6kB / 24.2kB   0B / 0B           4
cbe93622bd7b   socialnetwork_url-shorten-service_1         0.00%     1.812MiB / 7.793GiB   0.02%     51.2kB / 23.5kB   0B / 0B           4
af9d49cf9bcc   socialnetwork_media-service_1               0.00%     1.074MiB / 7.793GiB   0.01%     6.78kB / 327B     0B / 0B           3
2f9f6ce5e9bb   socialnetwork_home-timeline-service_1       0.00%     1.105MiB / 7.793GiB   0.01%     7.46kB / 1.49kB   0B / 0B           3
a72061c86418   socialnetwork_user-mention-service_1        0.00%     1.715MiB / 7.793GiB   0.02%     6.78kB / 334B     0B / 0B           3
eb4325d16644   socialnetwork_text-service_1                0.00%     1.156MiB / 7.793GiB   0.01%     7.6kB / 1.58kB    0B / 0B           3
55b74e748bf1   ebpf_post-storage-service_1                 0.00%     2.105MiB / 7.793GiB   0.03%     17.3MB / 8.53MB   1.18MB / 0B       3
d0022af07d80   ebpf_media-frontend_1                       0.00%     7.723MiB / 7.793GiB   0.10%     189kB / 0B        0B / 0B           17
7e47f13b5bdf   ebpf_nginx-thrift_1                         0.00%     6.191MiB / 7.793GiB   0.08%     251kB / 139kB     778kB / 0B        9
d25620038ec5   ebpf_jaeger-agent_1                         0.07%     10.93MiB / 7.793GiB   0.14%     206kB / 1.34kB    17.7MB / 0B       10
2e77b1e19853   ebpf_compose-post-service_1                 0.00%     1.035MiB / 7.793GiB   0.01%     201kB / 25.4kB    0B / 0B           2
d6f32426f095   ebpf_text-service_1                         0.00%     984KiB / 7.793GiB     0.01%     194kB / 8.63kB    20.5kB / 0B       2
1e86f7710181   ebpf_home-timeline-service_1                0.00%     984KiB / 7.793GiB     0.01%     312kB / 217kB     111kB / 0B        2
d47d68898903   ebpf_media-service_1                        0.00%     924KiB / 7.793GiB     0.01%     191kB / 1.76kB    0B / 0B           2
6ec47f2868e0   ebpf_user-service_1                         0.00%     1.805MiB / 7.793GiB   0.02%     17.7MB / 8.95MB   1.02MB / 0B       4
4ae42aa7c8d0   ebpf_user-timeline-service_1                0.00%     1.418MiB / 7.793GiB   0.02%     17.5MB / 8.75MB   397kB / 0B        3
43ec33e513e0   ebpf_unique-id-service_1                    0.00%     924KiB / 7.793GiB     0.01%     191kB / 1.83kB    0B / 0B           2
93194d35503c   ebpf_user-mention-service_1                 0.00%     1.371MiB / 7.793GiB   0.02%     191kB / 1.86kB    242kB / 0B        2
fa7a319686a0   ebpf_social-graph-service_1                 0.00%     1.551MiB / 7.793GiB   0.02%     17.5MB / 8.77MB   414kB / 0B        4
9cbd12dfb0e8   ebpf_url-shorten-service_1                  0.00%     2.02MiB / 7.793GiB    0.03%     17.3MB / 8.53MB   4.46MB / 0B       3
3b37deaca200   ebpf_media-memcached_1                      0.04%     1.383MiB / 7.793GiB   0.02%     191kB / 0B        53.2kB / 0B       10
